Player Name,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Goals Against,Goals Against Average,Saves,Shots Against,Save Percentage,Shutouts
Marcus Högberg,2024/25,NYI,15,11,2,6,3,41,3.38,294,335,0.878,0
Yaroslav Askarov,2024/25,SJS,13,12,4,6,2,37,3.1,320,357,0.896,0
Ville Husso,2024/25,2TM,13,11,2,6,3,37,3.47,299,336,0.89,0
Ville Husso,2024/25,DET,9,8,1,5,2,27,3.69,175,202,0.866,0
Ville Husso,2024/25,ANA,4,3,1,1,1,10,2.99,124,134,0.925,0
Leevi Merilainen,2024/25,OTT,12,11,8,3,1,22,1.99,273,295,0.925,3
Jet Greaves,2024/25,CBJ,11,11,7,2,2,21,1.91,318,339,0.938,2
Cayden Primeau,2024/25,MTL,11,7,2,3,1,41,4.7,209,250,0.836,0
Arturs Silovs,2024/25,VAN,10,9,2,6,1,33,3.65,205,238,0.861,0
Semyon Varlamov,2024/25,NYI,10,10,3,4,3,29,2.89,233,262,0.889,0
Devon Levi,2024/25,BUF,9,8,2,7,0,33,4.12,225,258,0.872,0
Spencer Martin,2024/25,CAR,9,7,3,4,1,27,3.89,148,175,0.846,1
Georgi Romanov,2024/25,SJS,8,6,0,6,0,27,3.89,192,219,0.877,0
Nico Daws,2024/25,NJD,6,4,3,1,0,7,1.6,107,114,0.939,1
Dennis Hildeby,2024/25,TOR,6,6,3,3,0,20,3.33,136,156,0.872,0
Jaxson Stauber,2024/25,UTA,6,4,2,1,1,17,3.26,141,158,0.892,1
Dustin Tokarski,2024/25,CAR,6,6,4,2,0,13,2.18,119,132,0.902,1
Akira Schmid,2024/25,VEG,5,3,2,0,1,5,1.26,85,90,0.944,0
Drew Commesso,2024/25,CHI,2,1,0,1,0,4,3.36,22,26,0.846,0
Trent Miner,2024/25,COL,2,1,0,1,0,4,2.62,29,33,0.879,0
Matt Murray,2024/25,TOR,2,2,1,1,0,7,3.54,51,58,0.879,0
Olivier Rodrigue,2024/25,EDM,2,1,0,1,0,4,3.1,25,29,0.862,0
Jakub Skarek,2024/25,NYI,2,1,0,1,0,5,3.94,34,39,0.872,0
Mads Søgaard,2024/25,OTT,2,1,1,1,0,8,5.24,32,40,0.8,0
Nikita Tolopilo,2024/25,VAN,2,1,1,1,0,3,2.15,23,26,0.885,0
Jesper Wallstedt,2024/25,MIN,2,2,0,2,0,8,4.09,43,51,0.843,0
Pheonix Copley,2024/25,LAK,1,0,0,0,0,2,4.37,10,12,0.833,0
Sebastian Cossa,2024/25,DET,1,0,1,0,0,2,2.67,12,14,0.857,0
Louis Domingue,2024/25,NYR,1,1,1,0,0,2,2.0,25,27,0.926,0
Brandon Halverson,2024/25,TBL,1,1,0,1,0,5,5.18,19,24,0.792,0
Kaapo Kähkönen,2024/25,COL,1,1,0,1,0,4,4.12,16,20,0.8,0
Niklas Kokko,2024/25,SEA,1,0,0,0,0,2,4.01,4,6,0.667,0
Tristan Lennox,2024/25,NYI,1,0,0,0,0,1,12.72,1,2,0.5,0
Victor Ostman,2024/25,SEA,1,0,0,0,0,0,0.0,12,12,1.0,0
Yaniv Perets,2024/25,CAR,1,0,0,0,0,1,7.32,6,7,0.857,0
Erik Portillo,2024/25,LAK,1,1,1,0,0,1,1.02,28,29,0.966,0
Hunter Shepard,2024/25,WSH,1,1,0,1,0,7,7.0,19,26,0.731,0
Clay Stevenson,2024/25,WSH,1,1,0,1,0,5,5.0,33,38,0.868,0
Ales Stezka,2024/25,SEA,1,1,0,1,0,3,3.09,20,23,0.87,0
Matt Villalta,2024/25,UTA,1,1,1,0,0,3,3.0,28,31,0.903,0
League Average,2024/25,,0,0,0,0,0,0,2.81,0,0,0.9,0
