season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Johnny Gaudreau,CBJ,LW,12,48,60,-27,22,0,0,0,160,0,2,23,0
2023/24,Mikael Granlund,SJS,C,12,48,60,-23,32,0,0,0,134,0,62,55,0
2023/24,William Karlsson,VEG,C,30,30,60,15,22,0,0,0,175,0,43,46,0
2023/24,Frank Vatrano,ANA,LW,37,23,60,-20,85,0,0,0,272,0,156,78,0
2023/24,Oliver Bjorkstrand,SEA,RW,20,39,59,-20,12,0,0,0,186,0,67,29,0
2023/24,Rasmus Dahlin,BUF,D,20,39,59,-3,66,0,0,0,235,0,195,154,0
2023/24,Yegor Sharangovich,CGY,C,31,28,59,-29,8,0,0,0,179,0,13,44,0
2023/24,Alex Tuch,BUF,RW,22,37,59,9,54,0,0,0,192,0,72,82,0
2023/24,Pavel Zacha,BOS,C,21,38,59,12,18,0,0,0,148,0,106,34,0
2023/24,Sean Monahan,2TM,C,26,33,59,-1,12,0,0,0,171,0,29,44,0
2023/24,Sean Monahan,MTL,C,13,22,35,-10,10,0,0,0,104,0,17,24,0
2023/24,Sean Monahan,WPG,C,13,11,24,9,2,0,0,0,67,0,12,20,0
2023/24,Morgan Rielly,TOR,D,7,51,58,7,27,0,0,0,173,0,98,137,0
2023/24,Alexis Lafrenière,NYR,LW,28,29,57,2,40,0,0,0,217,0,73,21,0
2023/24,Matias Maccelli,ARI,LW,17,40,57,-4,8,0,0,0,149,0,25,20,0
2023/24,Trevor Moore,LAK,LW,31,26,57,11,28,0,0,0,244,0,92,58,0
2023/24,Zach Werenski,CBJ,D,11,46,57,0,22,0,0,0,202,0,23,130,0
2023/24,Casey Mittelstadt,2TM,C,18,39,57,10,32,0,0,0,127,0,25,31,0
2023/24,Casey Mittelstadt,BUF,C,14,33,47,12,28,0,0,0,102,0,14,23,0
2023/24,Casey Mittelstadt,COL,C,4,6,10,-2,4,0,0,0,25,0,11,8,0
2023/24,Jonathan Drouin,COL,LW,19,37,56,12,28,0,0,0,127,0,41,33,0
2023/24,Shayne Gostisbehere,DET,D,10,46,56,-16,16,0,0,0,139,0,29,75,0
2023/24,Erik Karlsson,PIT,D,11,45,56,4,44,0,0,0,213,0,40,99,0
2023/24,Bryan Rust,PIT,RW,28,28,56,10,20,0,0,0,196,0,47,51,0
2023/24,Tage Thompson,BUF,C,29,27,56,-1,43,0,0,0,246,0,79,29,0
2023/24,Quinton Byfield,LAK,C,20,35,55,19,42,0,0,0,161,0,66,19,0
2023/24,Tyler Toffoli,2TM,C,33,22,55,-6,14,0,0,0,229,0,75,11,0
2023/24,Tyler Toffoli,NJD,C,26,18,44,-15,12,0,0,0,179,0,62,8,0
2023/24,Tyler Toffoli,WPG,C,7,4,11,9,2,0,0,0,50,0,13,3,0
2023/24,Vladimir Tarasenko,2TM,RW,23,32,55,13,12,0,0,0,155,0,85,39,0
2023/24,Vladimir Tarasenko,OTT,RW,17,24,41,13,12,0,0,0,116,0,54,30,0
2023/24,Vladimir Tarasenko,FLA,RW,6,8,14,0,0,0,0,0,39,0,31,9,0
2023/24,Michael Bunting,2TM,LW,19,36,55,-19,57,0,0,0,168,0,49,21,0
2023/24,Michael Bunting,CAR,LW,13,23,36,-15,55,0,0,0,113,0,25,15,0
2023/24,Michael Bunting,PIT,LW,6,13,19,-4,2,0,0,0,55,0,24,6,0
2023/24,Blake Coleman,CGY,C,30,24,54,19,76,0,0,0,191,0,128,57,0
2023/24,Miro Heiskanen,DAL,D,9,45,54,8,36,0,0,0,162,0,55,97,0
2023/24,Philipp Kurashev,CHI,C,18,36,54,-44,23,0,0,0,128,0,27,48,0
2023/24,Kyle Palmieri,NYI,RW,30,24,54,-16,26,0,0,0,218,0,89,42,0
2023/24,Troy Terry,ANA,C,20,34,54,-10,24,0,0,0,172,0,17,30,0
2023/24,Mason Marchment,DAL,F,22,31,53,22,54,0,0,0,150,0,108,34,0
2023/24,Martin Nečas,CAR,C,24,29,53,-9,42,0,0,0,231,0,77,31,0
2023/24,Valeri Nichushkin,COL,RW,28,25,53,5,22,0,0,0,158,0,74,24,0
2023/24,Mark Stone,VEG,RW,16,37,53,1,22,0,0,0,117,0,34,40,0
2023/24,Teuvo Teräväinen,CAR,F,25,28,53,15,10,0,0,0,142,0,16,26,0
2023/24,Owen Tippett,PHI,RW,28,25,53,-5,12,0,0,0,289,0,148,47,0
2023/24,John Carlson,WSH,D,10,42,52,-7,40,0,0,0,176,0,69,194,0
2023/24,Jonathan Huberdeau,CGY,LW,12,40,52,-29,49,0,0,0,143,0,60,37,0
2023/24,Timo Meier,NJD,RW,28,24,52,-28,45,0,0,0,207,0,111,42,0
2023/24,Tyler Seguin,DAL,C,25,27,52,10,26,0,0,0,154,0,61,22,0
2023/24,Andrei Svechnikov,CAR,RW,19,33,52,13,58,0,0,0,144,0,142,22,0
2023/24,MacKenzie Weegar,CGY,D,20,32,52,2,51,0,0,0,208,0,194,200,0
2023/24,Kris Letang,PIT,D,10,41,51,13,62,0,0,0,164,0,137,136,0
2023/24,Chandler Stephenson,VEG,C,16,35,51,-9,25,0,0,0,97,0,43,40,0
2023/24,Adam Henrique,2TM,C,24,27,51,9,37,0,0,0,140,0,99,78,0
2023/24,Adam Henrique,ANA,C,18,24,42,3,33,0,0,0,111,0,59,57,0
2023/24,Adam Henrique,EDM,C,6,3,9,6,4,0,0,0,29,0,40,21,0
2023/24,Drew Doughty,LAK,D,15,35,50,15,44,0,0,0,135,0,109,142,0
2023/24,Joel Farabee,PHI,LW,22,28,50,-13,37,0,0,0,182,0,67,50,0
2023/24,JJ Peterka,BUF,RW,28,22,50,10,28,0,0,0,226,0,27,18,0
2023/24,Juraj Slafkovsky,MTL,LW,20,30,50,-19,55,0,0,0,152,0,152,71,0
2023/24,Devon Toews,COL,D,12,38,50,28,18,0,0,0,159,0,74,110,0
2023/24,J.T. Compher,DET,LW,19,29,48,-5,34,0,0,0,108,0,51,59,0
2023/24,Filip Hronek,VAN,D,5,43,48,33,38,0,0,0,148,0,104,87,0
