Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Troy Terry,2023/24,20,34,54,-10,24,13,0,5,172,17,30,6
Mason Marchment,2023/24,22,31,53,22,54,11,0,3,150,108,34,4
Martin Nečas,2023/24,24,29,53,-9,42,13,0,3,231,77,31,47
Valeri Nichushkin,2023/24,28,25,53,5,22,21,2,6,158,74,24,2
Mark Stone,2023/24,16,37,53,1,22,14,4,5,117,34,40,0
Teuvo Teräväinen,2023/24,25,28,53,15,10,17,4,4,142,16,26,66
Owen Tippett,2023/24,28,25,53,-5,12,8,0,4,289,148,47,19
John Carlson,2023/24,10,42,52,-7,40,21,0,5,176,69,194,0
Jonathan Huberdeau,2023/24,12,40,52,-29,49,19,0,2,143,60,37,15
Timo Meier,2023/24,28,24,52,-28,45,17,0,4,207,111,42,44
Tyler Seguin,2023/24,25,27,52,10,26,8,2,3,154,61,22,342
Andrei Svechnikov,2023/24,19,33,52,13,58,17,0,8,144,142,22,4
MacKenzie Weegar,2023/24,20,32,52,2,51,15,2,2,208,194,200,0
Kris Letang,2023/24,10,41,51,13,62,5,1,2,164,137,136,0
Chandler Stephenson,2023/24,16,35,51,-9,25,13,3,4,97,43,40,552
Adam Henrique,2023/24,24,27,51,9,37,10,5,4,140,99,78,577
Adam Henrique,2023/24,18,24,42,3,33,10,5,3,111,59,57,482
Adam Henrique,2023/24,6,3,9,6,4,0,0,1,29,40,21,95
Drew Doughty,2023/24,15,35,50,15,44,20,0,3,135,109,142,0
Joel Farabee,2023/24,22,28,50,-13,37,7,0,2,182,67,50,30
JJ Peterka,2023/24,28,22,50,10,28,7,0,5,226,27,18,3
Juraj Slafkovsky,2023/24,20,30,50,-19,55,14,0,2,152,152,71,10
Devon Toews,2023/24,12,38,50,28,18,5,2,2,159,74,110,0
J.T. Compher,2023/24,19,29,48,-5,34,10,2,0,108,51,59,465
Filip Hronek,2023/24,5,43,48,33,38,11,0,0,148,104,87,0
Dylan Cozens,2023/24,18,29,47,-4,42,10,3,1,200,108,27,522
Phillip Danault,2023/24,17,30,47,12,18,9,2,2,159,80,60,600
Max Domi,2023/24,9,38,47,10,118,2,0,1,137,53,22,226
Brock Faber,2023/24,8,39,47,-1,26,16,0,1,136,65,150,0
Conor Garland,2023/24,20,27,47,19,35,5,0,3,200,53,34,2
Thomas Harley,2023/24,15,32,47,28,18,9,1,3,144,67,135,0
Luke Hughes,2023/24,9,38,47,-25,28,25,0,1,135,24,55,0
Patrick Kane,2023/24,20,27,47,-5,16,15,0,7,147,14,13,0
Charlie McAvoy,2023/24,12,35,47,4,86,13,0,3,133,159,159,0
David Perron,2023/24,17,30,47,-12,55,17,0,4,151,111,27,16
Brady Skjei,2023/24,13,34,47,15,40,12,4,2,185,69,90,0
Noah Hanifin,2023/24,13,34,47,19,24,13,2,2,164,63,121,0
Noah Hanifin,2023/24,11,24,35,13,22,8,1,1,123,46,89,0
Noah Hanifin,2023/24,2,10,12,6,2,5,1,1,41,17,32,0
Vince Dunn,2023/24,11,35,46,8,78,16,1,0,120,39,64,0
Nick Paul,2023/24,24,22,46,-16,27,14,0,2,153,104,42,531
Brayden Schenn,2023/24,20,26,46,-22,56,12,1,3,170,169,51,454
Jeff Skinner,2023/24,24,22,46,-2,34,12,0,3,211,26,13,52
